date,cpi,access_date
2036-08-01,98.5,2021-05-01
2036-09-01,105.4,2021-05-01
2036-10-01,98.9,2021-05-01
2036-11-01,110.9,2021-05-01
2036-12-01,97.2,2021-05-01
2037-01-01,95.8,2021-05-01
2037-02-01,101.7,2021-05-01
2037-03-01,100,2021-05-01
2037-04-01,96.3,2021-05-01
2037-05-01,104.5,2021-05-01
2037-06-01,98.4,2021-05-01
2037-07-01,88.8,2021-05-01
2037-08-01,102.3,2021-05-01
2037-09-01,95.7,2021-05-01
2037-10-01,105.4,2021-05-01
2037-11-01,108,2021-05-01
2037-12-01,96.5,2021-05-01
2038-01-01,96.4,2021-05-01
2038-02-01,96.6,2021-05-01
2038-03-01,99.9,2021-05-01
2038-04-01,97.6,2021-05-01
2038-05-01,93.5,2021-05-01
2038-06-01,116.2,2021-05-01
2038-07-01,107.4,2021-05-01
2038-08-01,98.3,2021-05-01
2038-09-01,95,2021-05-01
2038-10-01,102,2021-05-01
2038-11-01,106.6,2021-05-01
2038-12-01,98,2021-05-01
2039-01-01,100.4,2021-05-01
2039-02-01,102.2,2021-05-01
2039-03-01,104.4,2021-05-01
2039-04-01,123,2021-05-01
2039-05-01,103.3,2021-05-01
2039-06-01,92.5,2021-05-01
2039-07-01,105.4,2021-05-01
2039-08-01,103.4,2021-05-01
2039-09-01,99.3,2021-05-01
2039-10-01,102,2021-05-01
2039-11-01,104.5,2021-05-01
2039-12-01,98.3,2021-05-01
2040-01-01,109.4,2021-05-01
2040-02-01,104.4,2021-05-01
2040-03-01,115.9,2021-05-01
2040-04-01,111.6,2021-05-01
2040-05-01,105.4,2021-05-01
2040-06-01,94.3,2021-05-01
2040-07-01,112.7,2021-05-01
2040-08-01,115.9,2021-05-01
2040-09-01,101.4,2021-05-01
2040-10-01,103.7,2021-05-01
2040-11-01,110,2021-05-01
2040-12-01,102.1,2021-05-01
2041-01-01,98.6,2021-05-01
2041-02-01,102.8,2021-05-01
2041-03-01,107.2,2021-05-01
2041-04-01,102.6,2021-05-01
2041-05-01,107.9,2021-05-01
2041-06-01,94.5,2021-05-01
2041-07-01,111.3,2021-05-01
2041-08-01,115.2,2021-05-01
2041-09-01,94.1,2021-05-01
2041-10-01,97.5,2021-05-01
